id,query,answer,image_path,answer_llm,eval_result
YUcQyKJ1UOsZVPdoU4op9EEepU1bmkBAswF5Neff8YskLB,What was the non-GAAP operating efficiency ratio for SVB Financial in 2016?,54.39,./data/huggingface_images/image_000_YUcQyKJ1.png,The non‑GAAP operating efficiency ratio for SVB Financial in 2016 was **54.39**.,1.0
MR5Xz8KuS9WpooQrd2UPpbUymNpeosX0jhnImc6sNoYh3U,Where can I find information about the executive compensation of FMC Corporation?,Page 105,./data/huggingface_images/image_001_MR5Xz8Ku.png,A informação sobre a remuneração executiva da FMC Corporation está localizada na **página 105** do relatório anual (Form 10‑K) de 2004 da empresa.,1.0
nr5kF56CljdHwwWlX5AMCy0nOq8o1a45TRtNzsdFyrX8I9,What is the function of the XBRL Instance Document?,The XBRL Instance Document is used to represent financial data in a structured format for easier analysis and reporting.,./data/huggingface_images/image_002_nr5kF56C.png,"The XBRL Instance Document serves as a structured representation of a company’s financial information. It contains the actual data (facts) about the company’s financial performance, such as income statements, balance sheets, and cash flows, encoded in a standardized format. This structure allows software to automatically extract, analyze, and report the data, facilitating easier and more accurate financial analysis, comparison across companies, and compliance with regulatory reporting requirements.",1.0
dSGBVYkdQGSIxDkcACYvAM9hH5JX9xW2AYaUnBzRqHUhkR,What is the purpose of the Second Amended and Restated Certificate of Incorporation?,The purpose of the Second Amended and Restated Certificate of Incorporation is to outline the legal structure and governance of Celanese Corporation.,./data/huggingface_images/image_003_dSGBVYkd.png,"O Segundo Certificado de Incorporação Alterado e Restituído tem como objetivo principal estabelecer a estrutura jurídica e os mecanismos de governança da empresa – neste caso, da Celanese Corporation. Em outras palavras, ele define os estatutos da companhia, delineia a composição do conselho, os direitos e responsabilidades dos acionistas e outras disposições que regem o funcionamento e a administração do negócio.",1.0
SaRH95X8OmfKW8oVpp4drqRhOnUKaMYtTsUBjkIeMl8z8u,What was the effective income tax rate for Archer-Daniels-Midland in 2017?,0.4%,./data/huggingface_images/image_004_SaRH95X8.png,The effective income tax rate for Archer‑Daniels‑Midland in 2017 was **0.4 %**.,1.0
t8dMiwfBBqjDzb2bRlPDYkPS32bn7VptdWagkrrTOyauS1,"How much profit did Newell Brands, or NWL, report at the end of the fiscal year 2016, after accounting for all expenses and taxes?",$527.8 million,./data/huggingface_images/image_005_t8dMiwfB.png,"No final do exercício fiscal de 2016, a Newell Brands (NWL) reportou um lucro líquido de **US$ 527,8 milhões** após contabilizar todas as despesas e impostos.",1.0
IixZbnXJpPPUWl1CjcDK86dnMEPuJnl7rYHszPto7Q2Zp3,What was the total current-period other comprehensive income (loss) for American Tower in 2014?,"$(483,001)",./data/huggingface_images/image_006_IixZbnXJ.png,"The total **current‑period other comprehensive income (loss)** for American Tower in 2014 was a **loss of $483,001 thousand** (≈ $483 million).",1.0
dHzBs7R2qOJbdNBWPCz7LFJssOVgocrf4rVYmkPoSl1p2K,What was the total income tax expense for Expeditors International in 2018?,"$198,539",./data/huggingface_images/image_007_dHzBs7R2.png,"The total income tax expense for Expeditors International in 2018 was **$198,539**.",1.0
sOqehAeAIMi4SV3NkBMn4XhWdWYmJM9TlU44SugiD8Jgr1,What was the revenue for the Retirement segment in 2006?,"$4,378 million",./data/huggingface_images/image_008_sOqehAeA.png,"The Revenue reported for the **Retirement segment in 2006** was **$4,378 million** (approximately **$4.38 billion**).",1.0
OCOes1xFBfvKMQ5D5jJA2qYyeuyZsXc8nL7ePpSQeSH2V3,How much did the valuation allowance decrease by in fiscal 2006 for Intuit?,$1.6 million,./data/huggingface_images/image_009_OCOes1xF.png,"The valuation allowance for Intuit fell from **$5,981 thousand in 2005 to $4,389 thousand in 2006** – a reduction of **$1,592 thousand** (i.e., about **$1.59 million**).",1.0
